Id,title,abstract_processed,authors
10350,A mathematical model for simulating the phase-based transmissibility of a novel coronavirus,"abstractbackground: as reported by the world health organization, a novel coronavirus (2019-ncov) was identified as the causative virus of wuhan pneumonia of unknown etiology by chinese authorities on 7 january, 2020. the virus was named as severe acute respiratory syndrome coronavirus 2 (sars-cov-2) by international committee on taxonomy of viruses on 11 february, 2020. this study aimed to develop a mathematical model for calculating the transmissibility of the virus. methods: in this study, we developed a bats-hosts-reservoir-people transmission network model for simulating the potential transmission from the infection source (probably be bats) to the human infection. since the bats-hosts-reservoir network was hard to explore clearly and public concerns were focusing on the transmission from huanan seafood wholesale market (reservoir) to people, we simplified the model as reservoir-people (rp) transmission network model. the next generation matrix approach was adopted to calculate the basic reproduction number (r 0 ) from the rp model to assess the transmissibility of the sars-cov-2. results: the value of r 0 was estimated of 2.30 from reservoir to person and 3.58 from person to person which means that the expected number of secondary infections that result from introducing a single infected individual into an otherwise susceptible population was 3.58. conclusions: our model showed that the transmissibility of sars-cov-2 was higher than the middle east respiratory syndrome in the middle east countries, similar to severe acute respiratory syndrome, but lower than mers in the republic of korea.","Tian-Mu Chen, Jia Rui, Qiu-Peng Wang, Ze-Yu Zhao, Jing-An Cui, Ling Yin"
724,"Clinical outcomes of 402 patients with COVID-2019 from a single center in Wuhan, China","abstractthe sars-cov-2 outbreak is causing widespread infections and significant mortality. previous studies describing clinical characteristics of the disease contained small cohorts from individual centers or larger series consisting of mixed cases from different hospitals. we report analyses of mortality and disease severity among 402 patients from a single hospital. the cohort included 297 patients with confirmed and 105 with suspected diagnosis. the latter group met the criteria for clinical diagnosis but nucleic acid tests results were initially interpreted as suspicious. data were compared between genders and among different age groups. the overall case fatality is 5.2%. however, patients 70 years of age or older suffered a significantly higher mortality (17.8%), associated with more patients having severe or critical illness (57.5%). patients 50 years of age or older had a mortality of 8.0%, and those younger than 50 years, 1.2%. male patients had a mortality of 7.6% versus 2.9% in females.","Yingjie Wu, Wei Guo, Huan Liu, Bei Qi, Ke Liang, Haibo Xu, Zhiyong Peng, Shu-Yuan Xiao"
97,SARS-CoV-2 and SARS-CoV Spike-RBD Structure and Receptor Binding Comparison and Potential Implications on Neutralizing Antibody and Vaccine Development,"abstractsars-cov-2 and sars-cov share a common human receptor ace2. protein-protein interaction structure modeling indicates that spike-rbd of the two viruses also has similar overall binding conformation and binding free energy to ace2. in vitro assays using recombinant ace2 proteins and ace2 expressing cells confirmed the two coronaviruses' similar binding affinities to ace2. the above studies provide experimental supporting evidences and possible explanation for the high transmissibility observed in the sars-cov-2 outbreak. potent ace2-blocking sars-cov neutralizing antibodies showed limited cross-binding and neutralizing activities to sars-cov-2. ace2-non-blocking sars-cov rbd antibodies, though with weaker neutralizing activities against sars-cov, showed positive cross-neutralizing activities to sars-cov-2 with an unknown mechanism. these findings suggest a trade-off between the efficacy and spectrum for therapeutic antibodies to different coronaviruses, and hence highlight the possibilities and challenges in developing broadly protecting antibodies and vaccines against sars-cov-2 and its future mutants.various estimates and analyses suggest sars-cov-2 and severe acute respiratory syndrome coronavirus (sars-cov) may have similar transmissibility with an estimated reproductive number (r 0 ) of 3.77 (2.23-4.82) for sars-cov-2 and between 2.9-3.3 for sars-cov 8 .sars-cov-2 and sars-cov share a common host-cell receptor protein, angiotensin converting enzyme 2 (ace2), expressed on epithelial cells in the respiratory track system and various human organs, such as the lung 9,10 . receptor recognition by coronaviruses is the first and essential step for infecting host cells 11,12 . an envelope-anchored trimeric spike (s) protein mediates the binding of the two coronaviruses to human ace2 13,14 , and is cleaved by the host protease into two separate polypeptides as s1, which contains the receptor binding domain (rbd), and s2, which is responsible for the homotrimer formation and mediates fusion of the virion with cellular membranes 15 . the receptor binding motif (rbm) in rbd is responsible for direct binding to ace2 and its binding affinity may directly affects the virus infectivity and transmissibility 16, 17 . the amino acid sequence homology between sars-cov and sars-cov-2 approximates to 75% for the spike proteins, and are 73.7% and 50.0% for rbds and rbms, respectively.here we investigated the optimized complex structure conformations between the rbds of sars-cov-2","Chunyun Sun, Long Chen, Ji Yang, Chunxia Luo, Yanjing Zhang, Jing Li, Jiahui Yang, Jie Zhang, Liangzhi Xie"
35,"An orally bioavailable broad-spectrum antiviral inhibits SARS-CoV-2 and multiple 1 endemic, epidemic and bat coronavirus 2 3","abstractcoronaviruses (covs) traffic frequently between species resulting in novel disease 28 outbreaks, most recently exemplified by the newly emerged sars-cov-2. herein, we 29show that the ribonucleoside analog β-d-n 4 -hydroxycytidine (nhc, eidd-1931) has 30 broad spectrum antiviral activity against sars-cov 2, mers-cov, sars-cov, and 31 .","Timothy P Sheahan, Amy C Sims, Shuntai Zhou, Rachel L Graham, Collin S ,  Hill, Sarah R Leist, Alexandra Schäfer, Kenneth H Dinnon Iii, Stephanie A 5 Montgomery, Maria L Agostini, Andrea J Pruijssers, James D Chapell, Ariane J ,  Brown, Gregory R Bluemling, Michael G Natchus, Manohar Saindane, Alexander , A Kolykhalov, George Painter, Jennifer Harcourt, Azaibi Tamin, Natalie J ,  Thornburg, Ronald Swanstrom, Mark R Denison, Ralph S Baric"
62,"Epidemiology and Transmission of COVID-19 in Shenzhen China: Analysis of 391 cases and 1,286 of their close contacts","abstractrapid spread of sars-cov-2 in wuhan prompted heightened surveillance in shenzhen and elsewhere in china. the resulting data provide a rare opportunity to measure key metrics of disease course, transmission, and the impact of control.the shenzhen cdc identified 391 sars-cov-2 cases from january 14 to february 12, 2020 and 1286 close contacts. we compare cases identified through symptomatic surveillance and contact tracing, and estimate the time from symptom onset to confirmation, isolation, and hospitalization. we estimate metrics of disease transmission and analyze factors influencing transmission risk.cases were older than the general population (mean age 45) and balanced between males (187) and females (204). ninety-one percent had mild or moderate clinical severity at initial assessment. three have died, 225 have recovered (median time to recovery is 32 days). cases were isolated on average 4.6 days after developing symptoms; contact tracing reduced this by 1.9 days. household contacts and those travelling with a case where at higher risk of infection (ors 6 and 7) than other close contacts. the household secondary attack rate was 15%, and children were as likely to be infected as adults. the observed reproductive number was 0.4, with a mean serial interval of 6.3 days.our data on cases as well as their infected and uninfected close contacts provide key insights into sars-cov-2 epidemiology. this work shows that heightened surveillance and isolation, particularly contact tracing, reduces the time cases are infectious in the community, thereby reducing r . its overall impact, however, is uncertain and highly dependent on the number of asymptomatic cases. we further show that children are at similar risk of infection as the general population, though less likely to have severe symptoms; hence should be considered in analyses of transmission and control.","Qifang Bi, Yongsheng Wu, Shujiang Mei, Chenfei Ye, Xuan Zou, Zhen Zhang, Xiaojian Liu, Lan Wei, Shaun A Truelove, Tong Zhang, Wei Gao, Cong Cheng, Xiujuan Tang, Xiaoliang Wu, Yu Wu, Binbin Sun, Suli Huang, Yu Sun, Juncen Zhang, Ting Ma, Justin Lessler, Tiejian Feng"
976,"Characteristics of patients with COVID-19 during epidemic ongoing outbreak in Wuhan, China","abstractbackground since dec 2019, sars-cov-2 has caused about fifty thousand patients and over two thousand deaths in wuhan, china. we reported characteristics of patients with covid-19 during epidemic ongoing outbreak in wuhan.methods data of covid-19 patients with clinical outcome in a designated hospital in wuhan, were retrospectively collected from electronic medical records. characteristics were compared between patients who died or recovered, and between patients with different disease severity.results by feb 25, 2020, 403 patients were enrolled, 100 died and 303 recovered. most of non-survivors tended to be males, old aged, or with chronic diseases. duration from illness onset to admission was 9 (7-12) days. patients with severe or critical illness had more days from onset to admission compared to those with ordinary illness. lymphopenia, anemia, hypoproteinemia, and abnormal serum sodium were presented in 52.6%, 54.6%, 69.8%, and 21.8% cases, respectively.patients who died or with severe/critical illness showed increased white blood cell and neutrophil count, serum total bilirubin, creatinine, hypersensitive troponin i, d-dimer, procalcitonin, and c-reactive protein, and decreased red blood cell, lymphocyte, platelet count, and serum albumin on admission compared to those who recovered or with ordinary illness. complications of acute organ injury and secondary infection were common in patients with covid-19, especially in non-survivors.conclusions multiple homeostasis disturbances were common in patients with severe or critical illness at admission. early support should be provided, especially for old men with chronic disease, which is vital to control disease progression and reduce mortality of covid-19 during epidemic ongoing outbreak.","Xiaomin Luo, Hongxia Xia, Weize Yang, Benchao Wang, Tangxi Guo, Jun Xiong, Zongping Jiang, Yu Liu, Xiaojie Yan, W Zhou, Lu Ye, Bicheng Zhang, X Luo, H Xia, W Yang, B Wang, T Guo, J Xiong, Z Jiang, Y Liu, X Yan, Ye ) Cancer, L Ye"
350,Potential impact of seasonal forcing on a SARS-CoV-2 pandemic,"abstracta novel coronavirus (sars-cov-2) first detected in wuhan, china, has spread rapidly since december 2019, causing more than 80,000 confirmed infections and 2,700 fatalities (as of feb 27, 2020). imported cases and transmission clusters of various sizes have been reported globally suggesting a pandemic is likely. here, we explore how seasonal variation in transmissibility could modulate a sars-cov-2 pandemic. data from routine diagnostics show a strong and consistent seasonal variation of the four endemic coronaviruses (229e, hku1, nl63, oc43) and we parameterize our model for sars-cov-2 using these data. the model allows for many subpopulations of different size with variable parameters. simulations of different scenarios show that plausible parameters result in a small peak in early 2020 in temperate regions of the northern hemisphere and a larger peak in winter 2020/2021. variation in transmission and migration rates can result in substantial variation in prevalence between regions. while the uncertainty in parameters is large, the scenarios we explore show that transient reductions in the incidence rate might be due to a combination of seasonal variation and infection control efforts but do not necessarily mean the epidemic is contained. seasonal forcing on sars-cov-2 should thus be taken into account in the further monitoring of the global transmission. the likely aggregated effect of seasonal variation, infection control measures, and transmission rate variation is a prolonged pandemic wave with lower prevalence at any given time, thereby providing a window of opportunity for better preparation of health care systems.","Richard A Neher, Robert Dyrdak, Valentin Druelle, Emma B Hodcroft, Jan Albert"
407,High sensitivity detection of coronavirus SARS-CoV-2 using multiplex PCR and a multiplex-PCR-based metagenomic method,"abstractmany detection methods have been used or reported for the diagnosis and/or surveillance of sars-cov-2. among them, reverse transcription polymerase chain reaction (rt-pcr) is the most sensitive, claiming detection of about 5 copies of viruses. however, it has been reported that only 47-59% of the positive cases were identified by rt-pcr, probably due to loss or degradation of virus rna in the sampling process, or even mutation of the virus genome. therefore, developing highly sensitive methods is imperative to ensure robust detection capabilities. with the goal of improving sensitivity and accommodate various application settings, we developed a multiplex-pcr-based method comprised of 172 pairs of specific primers, and demonstrated its efficiency to detect sars-cov-2 at low copy numbers. the assay produced clean characteristic target peaks of defined sizes, which allowed for direct identification of positives by electrophoresis. in addition, optional sequencing can provide further confirmation as well as phylogenetic information of the identified virus(es) for specific strain discrimination, which will be of paramount importance for surveillance purposes that represent a global health imperative. finally, we also developed in parallel a multiplex-pcr-based metagenomic method that is amenable to detect sars-cov-2, with the additional benefit of its potential for uncovering mutational diversity and novel pathogens at low sequencing depth.","Chenyu Li, 1# , David N Debruyne, Julia Spencer, Vidushi Kapoor, Lily Y Liu, Bo Zhou, Lucie Lee, Rounak Feigelman, Grayson Burdon, Jeffrey Liu, Alejandra Oliva, Adam Borcherding, Hongdong Tan, Alexander E Urban, Guoying Liu, Zhitong Liu"
8500,UNREVEALING SEQUENCE AND STRUCTURAL FEATURES OF NOVEL CORONAVIRUS USING IN SILICO APPROACHES: THE MAIN PROTEASE AS MOLECULAR TARGET,"abstractdirect-acting antivirals are effective tools to control viral infections. sars-cov-2 is a coronavirus associated with the epidemiological outbreak in late 2019. previous reports showed that hiv-1 protease inhibitors could block sars-cov main protease. based on that and using an in silico approach, we evaluated sars-cov-2 main protease as a target for hiv-1 protease inhibitors to reveal the structural features related to their antiviral effect. our results showed that several hiv inhibitors such as lopinavir, ritonavir, and saquinavir produce strong interaction with the active site of sars-cov-2 main protease. furthermore, broad library protease inhibitors obtained from pubchem and zinc ( were evaluated. our analysis revealed 20 compounds that could be clustered into three groups based on their chemical features. then, these structures could serve as leading compounds to develop a series of derivatives optimizing their activity against sars-cov-2 and other coronaviruses. altogether, the results presented in this work contribute to gain a deep understanding of the molecular pharmacology of sars-cov-2 treatment and validate the use of protease inhibitors against sars-cov-2.","Joseph Thomas Ortega, Maria Luisa Serrano, Flor Helene Pujol, Hector Rafael Rangel"
529,Gender differences in patients with COVID-19: Focus on severity and mortality,"abstractmedrxiv preprintquestion: are men more susceptible to getting and dying from findings: in the case series, men tend to be more serious than women. in the public data set, the percentage of men were higher in the deceased group than in the survived group, although age was comparable between men and women.meaning: male gender is a risk factor for worse outcome in patients with covid independent of age and susceptibility.importance: the recent outbreak of novel coronavirus (sars-cov-2) disease has put the world on alert, that is reminiscent of the sars outbreak seventeen years ago.objective: we aim to compare the severity and mortality between male and female patients with both covid-19 and sars, to explore the most useful prognostic factors for individualized assessment. design, setting, and participants: we extracted the data from a case series of 43 hospitalized patients we treated, a public data set of the first 37 cases died of covid-19 in wuhan city and 1019 survived patients from six cities in china. we also analyzed the data of 524 patients with sars, including 139 deaths, from beijing city in early 2003. main outcomes and measures: severity and mortality. results: older age and high number of comorbidities were associated with higher severity and mortality in patients with both covid-19 and sars. the percentages of older age (≥65 years) were much higher in the deceased group than in the survived group in patients with both covid-19 (83.8 vs. 13.2, p<0.001) and sars (37.4 vs.4.9, p<0.001). in the case series, men tend to be more serious than women (p=0.035), although age was comparable between men and women. in the public data set, age was also comparable between men and women in the deceased group or the survived group in patients with covid-19. meanwhile, gender distribution was exactly symmetrical in the 1019 survivors of covid-19. however, the percentage of male were higher in the deceased group than in the survived group (70.3 vs. 50.0, p=0.015).the gender role in mortality was also observed in sars patients. survival analysis showed that men (hazard ratio % ci] 1.47 .05-2.06, p= 0.025) had a . cc-by-nc-nd 4.0 international license it is made available under a author/funder, who has granted medrxiv a license to display the preprint in perpetuity.is the (which was not peer-reviewed) the copyright holder for this preprint .  1101 significantly higher mortality rate than women in patients with sars.older age and male gender are risk factors for worse outcome in patients with covid. while men and women have the same susceptibility to both sars-cov-2 and sars-cov, men may be more prone to have higher severity and mortality independent of age and susceptibility.","Jian-Min Jin, Peng Bai, Wei He, Fei Wu, Xiao-Fang Liu, De-Min Han, Shi Liu, Jin-Kui Yang"
824,Characterization of the SARS-CoV-2 Spike in an Early Prefusion Conformation Running title: SARS-CoV-2 spike in an early prefusion conformation,"abstractpandemic coronavirus disease 2019 is caused by the emerging severe 24 acute respiratory syndrome coronavirus 2 (sars-cov-2), for which there are no 25 efficacious vaccines or therapeutics that are urgently needed. we expressed three 26 versions of spike (s) proteins-receptor binding domain (rbd), s1 subunit and s 27 ectodomain-in insect cells. rbd appears monomer in solutions, whereas s1 and s 28 associate into homotrimer with substantial glycosylation. the three proteins confer 29 excellent antigenicity with six convalescent covid-19 patient sera. cryo-electron 30 microscopy (cryo-em) analyses indicate that the sars-cov-2 s trimer dominate in a 31 unique conformation distinguished from the classic prefusion conformation of 32 coronaviruses by the upper s1 region at lower position ~15 å proximal to viral 33 membrane. such conformation is proposed as an early prefusion state for the sars-34 cov-2 spike that may broaden the knowledge of coronavirus and facilitate vaccine 35 development.36","Tingting Li, Qingbing Zheng, Hai Yu, Dinghui Wu, Wenhui Xue, Yuyun Zhang, Xiaofen Huang, Lizhi Zhou, Zhigang Zhang, Zhenghui Zha, Tingting Chen, Zhiping Wang, Jie Chen, Hui Sun, Tingting Deng, Yingbin , Wang , Yixin Chen, Qinjian Zhao, Jun Zhang, Ying Gu, Shaowei Li, Ningshao Xia"
1015,Structural and functional conservation of the programmed -1 ribosomal frameshift signal of SARS-CoV-2,"abstract17 years after the sars-cov epidemic, the world is facing the covid-19 pandemic.covid-19 is caused by a coronavirus named sars-cov-2. given the most optimistic projections estimating that it will take more than a year to develop a vaccine, our best short term strategy may lie in identifying virus-specific targets for small molecule interventions. all coronaviruses utilize a molecular mechanism called -1 prf to control the relative expression of their proteins. prior analyses of sars-cov revealed that it utilizes a structurally unique three-stemmed mrna pseudoknot to stimulate high rates of -1 prf, that it also harbors a -1 prf attenuation element. altering -1 prf activity negatively impacts virus replication, suggesting that this molecular mechanism may be therapeutically targeted. here we present a comparative analysis of the original sars-cov and sars-cov-2 frameshift signals. structural analyses reveal that the core -1 prf signal, composed of the u uua aac slippery site and three-stemmed mrna pseudoknot is highly conserved. in contrast, the upstream attenuator hairpin is less well conserved. functional assays revealed that both elements promote similar rates of -1 prf and that silent coding mutations in the slippery site strongly ablate -1 prf activity. we suggest that molecules that were previously identified as inhibiting sars-cov mediated -1 prf may serve as lead compounds to counter the current pandemic.","Jamie A Kelly, Jonathan D Dinman"
474,Epitope-based peptide vaccine design and target site characterization against novel coronavirus disease caused by SARS-CoV-2,"abstractthe outbreak of the 2019 novel coronavirus (sars-cov-2) has infected thousands of people with a large number of deaths across 26 countries. the sudden appearance of the virus leads to the limited existing therapies for sars-cov-2. therefore, vaccines and antiviral medicines are in desperate need. this study took immune-informatics approaches to identify b-and t-cell epitopes for surface glycoprotein (s) of sars-cov-2, followed by estimating their antigenicity and interactions with the human leukocyte antigen (hla) alleles. we identified four b cell epitopes, two mhc class-i and nine mhc class-ii binding t-cell epitopes, which showed highly antigenic features. allergenicity, toxicity and physiochemical properties analysis confirmed the specificity and selectivity of epitopes. the stability and safety of epitopes were confirmed by digestion analysis. no mutations were observed in all the selected b-and t-cell epitopes across all isolates from different locations worldwide. epitopes were thus identified and some of them can be potential candidates for vaccine development. : biorxiv preprintmethodsprimary sequence of sars-cov-2 protein was retrieved from ncbi database using accession number mn908947.3 . experimentally known 3d structure of sars-cov-2 s protein was retrieved from protein data bank (pdb id: 6vsb). protein sequence was analyzed for its chemicals and physical properties including gravy (grand average of hydropathicity), half-life, molecular weight, stability index and amino acid atomic composition via an online tool protparam . tmhmm v2.0 ( was applied to examine the transmembrane topology of s protein. secondary structure of sars-cov-2 protein was analyzed by psipred . existence of disulphide-bonds were examined through an online tool dianna v1.1 which uses trained neural system to make predictions . antigenicity of full-length s protein was evaluated by vaxijen v2.0 . b-cell epitope prediction iedb (immune-epitope-database and analysis-resource)  with default parameter settings were used to predict b-cell epitopes. epitopes predicted by linear epitope prediction of bepipred and bepipred2.0, kolaskar and tongaonkar antigenicity, parker hydrophilicity, chou and fasman beta turn,and karplus and schulz flexibility. bcepred  was also used to predict b-cell epitopes using accessibility, antigenic propensity, exposed surface, flexibility, hydrophilicity, polarity and turns.predicted b-cell epitopes by iedb and bcepred were combined to the b-cell epitope candidate list. based on transmembrane topology of s protein predicted by tmhmm v2.0, only epitopes on the outer surface were remained, and other intracellular epitopes were eliminated. vaxijen 2.0  was applied to evaluate the antigenicity of the remained epitopes. a stringent criteria was used to have antigenicity score of 0.9 and 14 residue length epitopes viewed adequate to start a defensive immune reaction. a b-cell discontinuous epitope forms the antigen-binding interface through fragments scattered along the protein sequence. discotope2.0 with discotope score threshold of -3.7 was used to predict discontinuous epitopes. pymol was used to examine the positions of selected linear and discontinuous epitopes on the 3d structure of sars-cov-2 protein.","Lin Li, Ting Sun, Yufei He, Wendong Li, Yubo Fan, Jing Zhang, Beijing "
702,COVID-19 Myocarditis and Severity Factors： An Adult Cohort Study Authors,"abstractpneumonia"" or "" coronavirus""), and "" myocarditis"" or "" cycle threshold (ct)"" or "" altitude"". we found that one article analyzed the risk factors affecting the prognosis of adult patients with covid-19 in terms of survivorship, without considering ct values as extrinsic factors. moreover, there are no reported studies on viral myocarditis caused by covid-19 and the relationship between the altitude and covid-19.added value of this study we retrospectively analyzed the clinical data, ct values, laboratory indicators and imaging findings of 84 adult patients with confirmed covid-19. three key-independent risk factors of covid-19 were identified in our study, including age or 2.350; 95% ci (1.206 to 4.580); p=0.012], ct value or 0.158; 95% ci (0.025 to 0.987); p=0.048] and pii or 1.912; 95% ci (1.187 to 3.079); p=0.008]. amongst 84 patients, 13 patients (15.48%)were noted with abnormal electrocardiograms (ecgs) and serum myocardial enzyme levels; whereas 4 (4.8%) were clinically diagnosed as sars-cov-2 myocarditis. moreover, altitude should be considered for covid-19 severity classification, given that oxygen partial pressure and blood oxygen saturation of regional patients vary with altitudes.","Kun-Long Ma, Zhi-Heng Liu, Chun-Feng Cao, Ming-Ke Liu, Juan Liao, Jing-Bo Zou, M B B S , Ling-Xi Kong, Ke-Qiang Wan, Jun Zhang, Qun-Bo Wang, Wen-Guang Tian, Guang-Mei Qin, M B B S ; Lei Zhang, Fu-Jun Luan, Shi-Ling Li, Liang-Bo Hu, Qian-Lu Li, Hai-Qiang Wang,  Affiliations"
239,Crystal structure of SARS-CoV-2 nucleocapsid protein RNA binding domain 1 reveals potential unique drug targeting sites,"abstractthe outbreak of coronavirus disease in china caused by sars-cov-2 virus 24 continually lead to worldwide human infections and deaths. it is currently no specific viral protein 25targeted therapeutics yet. viral nucleocapsid protein is a potential antiviral drug target, serving 26 multiple critical functions during the viral life cycle. however, the structural information of sars-27cov-2 nucleocapsid protein is yet to be clear. herein, we have determined the 2.7 å crystal 28 structure of the n-terminal rna binding domain of sars-cov-2 nucleocapsid protein. 29 although overall structure is similar with other reported coronavirus nucleocapsid protein n-30 terminal domain, the surface electrostatic potential characteristics between them are distinct. 31 further comparison with mild virus type hcov-oc43 equivalent domain demonstrates a unique 32 potential rna binding pocket alongside the b-sheet core. complemented by in vitro binding 33 studies, our data provide several atomic resolution features of sars-cov-2 nucleocapsid 34 protein n-terminal domain, guiding the design of novel antiviral agents specific targeting to 35 sars-cov-2. 36","Sisi Kang, Mei Yang, Zhongsi Hong, Liping Zhang, Zhaoxia Huang, Xiaoxue Chen, Suhua He, Ziliang Zhou, Zhechong Zhou, Qiuyue Chen, Yan Yan, Changsheng Zhang, Hong Shan, Shoudeng Chen"
515,"Epidemiological and Clinical Characteristics of Coronavirus Disease 2019 in Shenzhen, the Largest Migrant City of China","abstractwe conducted a retrospective study among 417 confirmed covid-19 cases from jan 1 to feb 28, 2020 in shenzhen, the largest migrant city of china, to identify the epidemiological and clinical features in settings of high population mobility. we estimated the median incubation time to be 5.0 days. 342 (82.0%) cases were imported, 161 (38.6%) cases were identified by surveillance, and 247 (59.2%) cases were reported from cluster events. the main symptoms on admission were fever and dry cough. most patients (91.4%) had mild or moderate illnesses. age of 50 years or older, breathing problems, diarrhea, and longer time between the first medical visit and admission were associated with higher level of clinical severity. surveillance-identified cases were much less likely to progress to severe illness.although the covid-19 epidemic has been contained in shenzhen, close monitoring and risk assessments are imperative for prevention and control of covid-19 in future.line: we characterized epidemiological and clinical features of a large population-based sample of covid-19 cases in the largest migrant city of china, and our findings could provide knowledge of sars-cov-2 transmission in the context of comprehensive containment and mitigation efforts in similar settings. running title: epidemiological and clinical features of covid-19","Ying Wen, Lan Wei, Yuan Li, Xiujuan Tang, Shuo Feng, Kathy Leung, Xiaoliang Wu, Xiong-Fei Pan, Cong Chen, Junjie Xia, Xuan Zou, Tiejian Feng, Shujiang Mei, Y Wen, L Wei, Y Li, X Tang, X Wu, C Chen, J Xia, X Zou, T Feng, S Mei, ( K Leung"
105,Rapid Molecular Detection of SARS-CoV-2 (COVID-19) Virus RNA Using Colorimetric LAMP,"abstractthe ability to detect an infectious agent in a widespread epidemic is crucial to the success of quarantine efforts in addition to sensitive and accurate screening of potential cases of infection from patients in a clinical setting. enabling testing outside of sophisticated laboratories broadens the scope of control and surveillance efforts, but also requires robust and simple methods that can be used without expensive instrumentation. here we report a method to identify sars-cov-2 (covid-19) virus rna from purified rna or cell lysis using loop-mediated isothermal amplification (lamp) using a visual, colorimetric detection. this test was additionally verified using rna samples purified from respiratory swabs collected from covid-19 patients in wuhan, china with equivalent performance to a commercial rt-qpcr test while requiring only heating and visual inspection. this simple and sensitive method provides an opportunity to facilitate virus detection in the field without a requirement for complex diagnostic infrastructure.. cc-by 4.0 international license it is made available under a author/funder, who has granted medrxiv a license to display the preprint in perpetuity.is the (which was not peer-reviewed) the copyright holder for this preprint .","Yinhua Zhang, Nelson Odiwuor, Jin Xiong, Luo Sun, Raphael Ohuru Nyaruaba, Hongping Wei, Nathan A Tanner, Nathan Tanner"
667,Clinical Characteristics of SARS-CoV-2 Pneumonia Compared to Controls in Chinese Han Population,"abstractbackground in december 2019, novel coronavirus (sars-cov-2) infected pneumonia occurred in wuhan, china. the number of cases has increased rapidly but information on the clinical characteristics of sars-cov-2 pneumonia without comorbidities compared to normal controls in chinese han population is limited. our objective is to describe the epidemiological and clinical characteristics of sars-cov-2 pneumonia without comorbidities compared to normal controls in the chinese han population.methods retrospective, multi-center case series of the 69 consecutive hospitalized patients with confirmed sars-cov-2 pneumonia,the study population included 69 hospitalized patients with confirmed sars-cov-2 pneumonia without comorbidities and 14,117 normal controls. 50.7% patients were male and 49.3% were female; 1.5% patients were asymptomatic cases, 63.8% patients were mild cases, and 36.2% patients were severe or critical cases. compared with mild patients (n=44), severe or critical patients (n=25) were significantly older (median age, 67 years iqr, vs. 49 years iqr, 36-60]; p<0.01). fever was present in 98.6% of the patients. the second most common symptom was cough (62.3%), fatigue (58.0%), sputum (39.1%), and headache (33.3%). the median incubation period was 4 days (iqr, 2 to 7). leukocyte count was 74.1% of normal controls and lymphocyte count was 45.9% of normal controls. the phenomenon of lymphocyte depletion (pld) observed in severe or critical cases in 100%.levels of lactate dehydrogenase, d-dimer, procalcitonin, and interleukin-6 were showed significant differences between mild and severe or critical cases. chest computed tomographic scans showed bilateral patchy patterns (49.3%), local patchy shadowing (29.0%), and ground glass opacity (21.7%). 7.3% patients were diagnosed ards, 7.3% patients were diagnosed acute cardiac injury (troponin i >28 pg/ml) and 4.4% patients were diagnosed fungal infections or shock. 4.3% patients have been discharged; 1.5% patient had died; 1.5% patient had recovery.conclusions in this multicenter case series of 69 patients without comorbidities, the full all rights reserved. no reuse allowed without permission. author/funder, who has granted medrxiv a license to display the preprint in perpetuity. : medrxiv preprint 3 spectrum of asymptomatic, mild, severe, and critical cases is described. 50.7% patients were male and 49.3% were female; 1.5% patients were asymptomatic cases, 63.8% patients were mild cases, and 36.2% patients were severe or critical cases. 4.3% patients have been discharged; 1.5% patient had died; 1.5% patient had recovery. among the 25 patients with severe or critical disease, 12.0% patients were underwent non-invasive mechanical ventilation, 8.0% patients underwent invasive mechanical ventilation, and 4.0% patients died.all rights reserved. no reuse allowed without permission. author/funder, who has granted medrxiv a license to display the preprint in perpetuity.","Yang Xu, Yi-Rong Li, Qiang Zeng, Zhi-Bing Lu, Yong-Zhe Li, Wei Wu, Sheng-Yong Dong, Gang # Huang, Xing-Huan Wang, Drs Y Xu, Y R Li, Q Zeng, Z B Lu, Y Z Li"
